Comprehensive Processed Phrases - mox_bank_negative_comprehensive_processed_phrases.txt
'card, which means' (frequency: 2)
'before making any' (frequency: 2)
'if u have' (frequency: 2)
'still insecure pin' (frequency: 2)
'insecure pin entry,' (frequency: 2)
'explanation or anything' (frequency: 2)
'be 18 asking' (frequency: 2)
'why hong kong' (frequency: 2)
'fix a major' (frequency: 2)
'card to google' (frequency: 2)
'fees on hkd' (frequency: 2)
'use mox card' (frequency: 2)
'mox card and' (frequency: 2)
'can get many' (frequency: 2)
'statement cannot share' (frequency: 2)
'statements pretty sure' (frequency: 2)
'pretty sure these' (frequency: 2)
'- the customer' (frequency: 2)
'- the promo' (frequency: 2)
'rewards are never' (frequency: 2)
'earn something and' (frequency: 2)
'find out later' (frequency: 2)
't qualify -' (frequency: 2)
'up an automatic' (frequency: 2)
'mox as they' (frequency: 2)
'call for support' (frequency: 2)
'explanation to why' (frequency: 2)
'like qr code' (frequency: 2)
'use an older' (frequency: 2)
't bother with' (frequency: 2)
't believe they' (frequency: 2)
'cannot be activated' (frequency: 2)
'be activated poor' (frequency: 2)
'after 4 days+' (frequency: 2)
'give a push' (frequency: 2)
'anymore it locks' (frequency: 2)
'was shut down' (frequency: 2)
'over 4 hours' (frequency: 2)
'concert ticket sale' (frequency: 2)
'know just suddenly' (frequency: 2)
'google play was' (frequency: 2)
'(trough uber) and' (frequency: 2)
'are de jure' (frequency: 2)
'de jure located' (frequency: 2)
'border fees for' (frequency: 2)
'waste a lot' (frequency: 2)
'after few times' (frequency: 2)
'ask the reason' (frequency: 2)
'just say business' (frequency: 2)
'when these 3rd' (frequency: 2)
'these 3rd 4th' (frequency: 2)
'decide to ditch' (frequency: 2)
'everything and declare' (frequency: 2)
'offered no help' (frequency: 2)
'no help except' (frequency: 2)
'not use pay' (frequency: 2)
'use pay bills' (frequency: 2)
'card, but still' (frequency: 2)
'mail before from' (frequency: 2)
'before from anyone' (frequency: 2)
'sucks for over' (frequency: 2)
'it u suck' (frequency: 2)
'been 5 days' (frequency: 2)
'last few days' (frequency: 2)
'few days untill' (frequency: 2)
'days untill now' (frequency: 2)
'hsbc is inconvenient' (frequency: 2)
'from a month' (frequency: 2)
'now, its still' (frequency: 2)
'continue to crush' (frequency: 2)
'when open card' (frequency: 2)
'open card number' (frequency: 2)
'fails to detect' (frequency: 2)
'after showing the' (frequency: 2)
'when starting just' (frequency: 2)
'starting just shuts' (frequency: 2)
'always pop out' (frequency: 2)
'from mox since' (frequency: 2)
'Scam company, the offers provided are very unclear.' (frequency: 2)
'The offer is very unclear as above - plz' (frequency: 2)
'Watching a movie and still got hacked, nearly two thousand bucks.' (frequency: 2)
'etc as other' (frequency: 2)
'need to ask' (frequency: 2)
'nor the difference between' (frequency: 1)
'so, nor the difference' (frequency: 1)
'feels like this' (frequency: 1)
'and making it intentionally' (frequency: 1)
'credit cards and' (frequency: 1)
'use high interest' (frequency: 1)
'really terrible experience' (frequency: 1)
'just a scam organized' (frequency: 1)
'exceptionally poor customer' (frequency: 1)
'statement balance and' (frequency: 1)
'this in troubleshooting chat' (frequency: 1)
'chat but the staff' (frequency: 1)
'unhelpful and unknowledgeable' (frequency: 1)
'super unhelpful support,' (frequency: 1)
'not working, gosh…' (frequency: 1)
'locked for 1 week' (frequency: 1)
'work for identity' (frequency: 1)
'may on hold due' (frequency: 1)
'hold due to their' (frequency: 1)
'not reliable, think' (frequency: 1)
'before using their' (frequency: 1)
'need to do video' (frequency: 1)
'customer support at all' (frequency: 1)
'cannot continue the' (frequency: 1)
'Trash video calls, no one will ever pay attention to you,' (frequency: 1)
'Video calls never get answered, and no one picks up the phone,' (frequency: 1)
'The phone isn't being answered, yet they still force people to do it,' (frequency: 1)
'Very poor experience hello' (frequency: 1)
'close to corner, hard' (frequency: 1)
'- unstable and' (frequency: 1)
'stock which is time-sensitive,' (frequency: 1)
'back 2/ time' (frequency: 1)
'time estimate for' (frequency: 1)
'sometimes they just ignore' (frequency: 1)
'support they would answer' (frequency: 1)
'something irrelevant then' (frequency: 1)
'then immediately close' (frequency: 1)
'is a repetitive promotional' (frequency: 1)
'係直接唔會理 the upper corner"  

Translation: "Will directly ignore the upper corner' (frequency: 1)
'Does not support as titled' (frequency: 1)
't help and' (frequency: 1)
'Why not call MOX again to clarify, wasting time' (frequency: 1)
'still can not receive' (frequency: 1)
'can’t solve the' (frequency: 1)
'every month, never' (frequency: 1)
'cs won’t reply,' (frequency: 1)
'reply, and no communication' (frequency: 1)
'never had this experience' (frequency: 1)
'experience with other local' (frequency: 1)
'poor mox care' (frequency: 1)
'Does this mean no need to check the card balance... poor' (frequency: 1)
'Is this not having to pay the credit card bill... poor mox' (frequency: 1)
'poor mox care is terrible to the extreme' (frequency: 1)
'care is terrible' (frequency: 1)
'never saw any' (frequency: 1)
'wax doll in the' (frequency: 1)
'still dont know' (frequency: 1)
'know why it was' (frequency: 1)
'why it was removed' (frequency: 1)
'Terrible to the max i' (frequency: 1)
'explained that the police' (frequency: 1)
'have the oral paper' (frequency: 1)
'funny how this' (frequency: 1)
'fee of hk$300, which' (frequency: 1)
'very bad,not care' (frequency: 1)
'call the customer' (frequency: 1)
'wait for few days,' (frequency: 1)
'here after this' (frequency: 1)
'lock ac without' (frequency: 1)
'reason, and most importantly' (frequency: 1)
'mox, when other' (frequency: 1)
'me, it will also' (frequency: 1)
'friends about this' (frequency: 1)
'They can't solve it, they just keep passing the buck.' (frequency: 1)
'in terms of expression' (frequency: 1)
'Misleading in expression, please be serious.' (frequency: 1)
'Misleading on the above, please be serious.' (frequency: 1)
'Misleading on the above, please follow up seriously.' (frequency: 1)
'Misleading, please be serious.' (frequency: 1)
'even stop the' (frequency: 1)
'want they can contact' (frequency: 1)
'even the text' (frequency: 1)
'1 month, they' (frequency: 1)
'sell to the scammers' (frequency: 1)
'experience that low' (frequency: 1)
'if you’re using' (frequency: 1)
'gonna be helpless' (frequency: 1)
'didn’t go through' (frequency: 1)
'times, each operator' (frequency: 1)
'term attraction not' (frequency: 1)
'it please fix' (frequency: 1)
'out from mox' (frequency: 1)
'mox over a few' (frequency: 1)
'over a few days' (frequency: 1)
'reason nor any timeline' (frequency: 1)
'it’s been a month' (frequency: 1)
'month now and still' (frequency: 1)
'now and still nothing' (frequency: 1)
'understand why the' (frequency: 1)
'recklessly , unlawfully' (frequency: 1)
'… never heard' (frequency: 1)
'heard before in the' (frequency: 1)
'again 🤬🤬🤬 garbage' (frequency: 1)
'there is no need' (frequency: 1)
'are offering much' (frequency: 1)
'much better interest' (frequency: 1)
'ac through the' (frequency: 1)
't pass the' (frequency: 1)
'again and again' (frequency: 1)
'The offer details are very unclear as above.' (frequency: 1)
'Scam company, the offers provided are very unclear as above -' (frequency: 1)
'from cs before' (frequency: 1)
'need long time' (frequency: 1)
'It's even harder to cancel than cable TV. So random.' (frequency: 1)
'Watching a movie and still got hacked for no reason' (frequency: 1)
'people mox keeps' (frequency: 1)
'its perks through' (frequency: 1)
'investigation but no timeline' (frequency: 1)
'timeline when it could' (frequency: 1)
'when it could finished' (frequency: 1)
'never use again' (frequency: 1)
'hardly come close' (frequency: 1)
'they also never' (frequency: 1)
'asked for any income' (frequency: 1)
'cannot spend with' (frequency: 1)
'out from the' (frequency: 1)
'rubbish no one' (frequency: 1)
'nor phone call' (frequency: 1)
'Extremely poor handling mox' (frequency: 1)
'cheat of mirror' (frequency: 1)
'垃圾 as entering' (frequency: 1)
'event has been promoted' (frequency: 1)
'days even by the' (frequency: 1)
'day selling concert tickets will kill the server, even one star will be given' (frequency: 1)
'not replying to cs chat/calls' (frequency: 1)
'¡ got scammed' (frequency: 1)
't get verified' (frequency: 1)
'about it on either' (frequency: 1)
'it on either sms,' (frequency: 1)
'online purchase, even' (frequency: 1)
'should be 24/7 online' (frequency: 1)
'any reason customer' (frequency: 1)
'impolite and unhelpful' (frequency: 1)
'deposit interest without' (frequency: 1)
'such as loan,' (frequency: 1)
'during the registration' (frequency: 1)
'cannot go further' (frequency: 1)
'further ahead on the' (frequency: 1)
'hard for a student' (frequency: 1)
'registered for a new' (frequency: 1)
'arrived and could still' (frequency: 1)
'high for 12 pro' (frequency: 1)
'max, making it very' (frequency: 1)
'making it very hard' (frequency: 1)
'be registered finally' (frequency: 1)
'bind it with alipay' (frequency: 1)
'已結束帳戶 monthly statement is' (frequency: 1)
'— a basic' (frequency: 1)
'such as searching' (frequency: 1)
'not implemented —' (frequency: 1)
'out of 5 times' (frequency: 1)
'4 times mox' (frequency: 1)
'never goes away' (frequency: 1)
'online shops and' (frequency: 1)
'well, and they still' (frequency: 1)
'so clearly mox' (frequency: 1)
'there is no signs' (frequency: 1)
'find that mox' (frequency: 1)
'any notice from' (frequency: 1)
'who launched numberless' (frequency: 1)
'mastercard but not true' (frequency: 1)
'overcharged for an order' (frequency: 1)
'still not been solved' (frequency: 1)
'today, it keeps' (frequency: 1)
's no internet' (frequency: 1)
'location of a merchant' (frequency: 1)
'business can be located' (frequency: 1)
'location a and finance' (frequency: 1)
'base is in location' (frequency: 1)
'told that they need' (frequency: 1)
'review in a couple' (frequency: 1)
'interests rates that' (frequency: 1)
'get people in the' (frequency: 1)
'people in the door' (frequency: 1)
'was asked three' (frequency: 1)
't claim the' (frequency: 1)
't get baited' (frequency: 1)
'use of their products' (frequency: 1)
'off would not recommend' (frequency: 1)
'recommend this to anyone' (frequency: 1)
'never heard of such' (frequency: 1)
'thing and it feels' (frequency: 1)
'ringing for video' (frequency: 1)
'purchase is a gamble,' (frequency: 1)
't take selfie' (frequency: 1)
'always says timeout' (frequency: 1)
'there is a prompt' (frequency: 1)
'go through the' (frequency: 1)
'selfie and so stupid' (frequency: 1)
'android 15, not' (frequency: 1)
'while connecting bluetooth' (frequency: 1)
't hear the' (frequency: 1)
'from speaker, so that' (frequency: 1)
'if mox will' (frequency: 1)
'footage of the video' (frequency: 1)
'use them again' (frequency: 1)
'email directs to the' (frequency: 1)
'all in google play' (frequency: 1)
'worst onboarding experience' (frequency: 1)
'provided are not sufficient' (frequency: 1)
'cap after fps,' (frequency: 1)
'promotion, cannot make' (frequency: 1)
'misleading advertising sell' (frequency: 1)
'interest rate at 5+%' (frequency: 1)
'rate at 5+% actually' (frequency: 1)
'actually it is 3%' (frequency: 1)
'as 2% bonus' (frequency: 1)
'it for 4 months' (frequency: 1)
'then they will raise' (frequency: 1)
'month in the end' (frequency: 1)
'is far less' (frequency: 1)
'within 2-3 mints' (frequency: 1)
'info, totally regret' (frequency: 1)
'regret downloading and' (frequency: 1)
't select which' (frequency: 1)
'work all the time' (frequency: 1)
'weeks now to get' (frequency: 1)
'rewards because of that' (frequency: 1)
'it twice already' (frequency: 1)
't work, asks' (frequency: 1)
'how is it credit' (frequency: 1)
'now the reward pay' (frequency: 1)
't have an explanation' (frequency: 1)
'have an explanation yet' (frequency: 1)
'mirroring was on why' (frequency: 1)
'mirroring and not allow' (frequency: 1)
'ever have to rely' (frequency: 1)
'even copy paste' (frequency: 1)
'is by far one' (frequency: 1)
'far one of the' (frequency: 1)
'benefit to the user' (frequency: 1)
'why this was prioritised' (frequency: 1)
'cause it keeps' (frequency: 1)
't mirroring anything' (frequency: 1)
'bluetooth turned on,' (frequency: 1)
'too frequent compulsory' (frequency: 1)
'users “sorry android' (frequency: 1)
'what a joke unable' (frequency: 1)
'anymore who thinks' (frequency: 1)
'idea to block' (frequency: 1)
'as one of the' (frequency: 1)
'one of the proof' (frequency: 1)
'not usable after' (frequency: 1)
'not usable cannot' (frequency: 1)
's definitely the' (frequency: 1)
'really annoying "new' (frequency: 1)
'individual fps /' (frequency: 1)
'after upgrade, cannot' (frequency: 1)
's keep saying' (frequency: 1)
'not allow when' (frequency: 1)
'when using this' (frequency: 1)
'ever since their' (frequency: 1)
'not allowed" when' (frequency: 1)
'phone is disabled' (frequency: 1)
'not accepting input' (frequency: 1)
'cannot open mox' (frequency: 1)
'even use bluetooth' (frequency: 1)
'mirroring is allowed' (frequency: 1)
'failed without web-based' (frequency: 1)
'as fallback, and' (frequency: 1)
'virtually locked away' (frequency: 1)
'allowed" and not booting' (frequency: 1)
'horrible for an online' (frequency: 1)
'hard to find' (frequency: 1)
't work they' (frequency: 1)
'worst it support' (frequency: 1)
'all false promises,' (frequency: 1)
'promotions, and no benefits' (frequency: 1)
'their policy is,' (frequency: 1)
'have to put cash' (frequency: 1)
'cash into the' (frequency: 1)
'just sitting there,' (frequency: 1)
'making any expenditure' (frequency: 1)
'until the very last' (frequency: 1)
'instruction and what failed' (frequency: 1)
'photo for the jumio' (frequency: 1)
'pin entry, still' (frequency: 1)
':/ terrible customer' (frequency: 1)
'non-related, did not solving' (frequency: 1)
'kong asking keep' (frequency: 1)
'stopping after upgraded,' (frequency: 1)
'0 cannot open' (frequency: 1)
'5 weeks and' (frequency: 1)
'pay again once' (frequency: 1)
'Maintenance not aligned with current time used' (frequency: 1)
'used to be great,' (frequency: 1)
'always ask face' (frequency: 1)
'face recognition and' (frequency: 1)
'friends also facing' (frequency: 1)
'team do better' (frequency: 1)
'without any explanation' (frequency: 1)
't work very' (frequency: 1)
'card and can get' (frequency: 1)
'cannot share statements' (frequency: 1)
'sure these 5-star' (frequency: 1)
'5-star ratings are' (frequency: 1)
'have to wait days' (frequency: 1)
'them to respond -' (frequency: 1)
'never what they seem' (frequency: 1)
'deliberately hide some' (frequency: 1)
'some conditions from' (frequency: 1)
'view to make' (frequency: 1)
'something and then' (frequency: 1)
'out later that' (frequency: 1)
'overall: no real' (frequency: 1)
'fix it a virtual' (frequency: 1)
'Maintenance not matching current time used to' (frequency: 1)
'Maintenance does not match the current time used to be' (frequency: 1)
'qr code scan' (frequency: 1)
'after unlocking oem' (frequency: 1)
't care less' (frequency: 1)
'less about this' (frequency: 1)
'due to an unexpected' (frequency: 1)
'misleading miscommunications, terrible' (frequency: 1)
'interest every month' (frequency: 1)
'believe they are owned' (frequency: 1)
'mox without knowing' (frequency: 1)
'experience with 4 hours' (frequency: 1)
'shut down for' (frequency: 1)
'ticket sale that' (frequency: 1)
's worse than' (frequency: 1)
'just keep loading' (frequency: 1)
'have to try several' (frequency: 1)
'fps small amount' (frequency: 1)
'amount very very bad' (frequency: 1)
'experience, very very difficult' (frequency: 1)
'& have no courtesy' (frequency: 1)
'reason for rejecting' (frequency: 1)
'blocked for no reason' (frequency: 1)
'reason and they took' (frequency: 1)
'funny mox stops' (frequency: 1)
'kong too long' (frequency: 1)
't use it for' (frequency: 1)
'play was cached' (frequency: 1)
'open anything anymore' (frequency: 1)
'since then and' (frequency: 1)
'why cannot enter' (frequency: 1)
'decimal place in the' (frequency: 1)
'place in the new' (frequency: 1)
'make no sense' (frequency: 1)
't charge cross' (frequency: 1)
'fees for local' (frequency: 1)
'atm card and' (frequency: 1)
'try many times' (frequency: 1)
'try to send' (frequency: 1)
'card for no reason' (frequency: 1)
'reason they just say' (frequency: 1)
'one has not much' (frequency: 1)
'3rd 4th party' (frequency: 1)
'before they had moved' (frequency: 1)
'after 2 weeks' (frequency: 1)
'support but they offered' (frequency: 1)
's hard earned' (frequency: 1)
'out large amts' (frequency: 1)
'amts with no further' (frequency: 1)
't launch closes' (frequency: 1)
'bad customer support' (frequency: 1)
't received the' (frequency: 1)
'from anyone else' (frequency: 1)
'3 hrs ago,' (frequency: 1)
'id and face recognition,' (frequency: 1)
'closed itself and then' (frequency: 1)
'itself and then nothing' (frequency: 1)
'registration was simple,' (frequency: 1)
'manage, everything in the' (frequency: 1)
'tactivated till now' (frequency: 1)
'~ once the' (frequency: 1)
'm trying yet' (frequency: 1)
's not installing' (frequency: 1)
'id by samsung, even' (frequency: 1)
'even cannot open' (frequency: 1)
'like the latest' (frequency: 1)
'starting from dec' (frequency: 1)
'g4 with new' (frequency: 1)
'number, please do not' (frequency: 1)
'please do not use' (frequency: 1)
'use have been installed' (frequency: 1)
'its still pending' (frequency: 1)
'card number which' (frequency: 1)
'showing the splash' (frequency: 1)
'not the first batch' (frequency: 1)
'all the time keep' (frequency: 1)
'keep exiting by itself' (frequency: 1)
'exiting by itself when' (frequency: 1)
'just shuts down' (frequency: 1)
'please, thanks it does' (frequency: 1)
'registered for an invitation' (frequency: 1)
'few months ago' (frequency: 1)
'pop out during' (frequency: 1)
'opening force closed' (frequency: 1)
'mox since then' (frequency: 1)
